,Bandit,Reward,Algorithm
0,0,-0.5485494351606894,Epsilon Greedy
1,0,1.8859177977245463,Epsilon Greedy
2,0,2.884380469902887,Epsilon Greedy
3,0,2.082013607358338,Epsilon Greedy
4,0,2.4059220440022298,Epsilon Greedy
5,0,1.3574562139960216,Epsilon Greedy
6,0,1.7398590257060655,Epsilon Greedy
7,0,1.8275327456851196,Epsilon Greedy
8,0,2.822560708312067,Epsilon Greedy
9,0,1.1910714695053175,Epsilon Greedy
10,0,2.948242420285952,Epsilon Greedy
11,0,2.9815903074910723,Epsilon Greedy
12,0,3.0323078928956213,Epsilon Greedy
13,0,3.430505654428917,Epsilon Greedy
14,0,3.5365944305595125,Epsilon Greedy
15,0,1.4588725220625989,Epsilon Greedy
16,0,0.9832099165440698,Epsilon Greedy
17,0,1.872100133710236,Epsilon Greedy
18,0,0.7116225267574214,Epsilon Greedy
19,0,2.6037085941047002,Epsilon Greedy
20,0,3.0037202310626574,Epsilon Greedy
21,0,2.490893733557082,Epsilon Greedy
22,0,1.833140792385351,Epsilon Greedy
23,0,1.5120609396371736,Epsilon Greedy
24,0,1.1961380641965729,Epsilon Greedy
25,0,3.9786477559760103,Epsilon Greedy
26,0,3.6313398112859474,Epsilon Greedy
27,0,2.9081065346945114,Epsilon Greedy
28,0,3.973582160661636,Epsilon Greedy
29,0,1.8911994096518439,Epsilon Greedy
30,0,5.316756359261973,Epsilon Greedy
31,0,3.4639916305358756,Epsilon Greedy
32,0,1.377755136861495,Epsilon Greedy
33,0,3.5970223177188787,Epsilon Greedy
34,0,4.498664176207123,Epsilon Greedy
35,0,1.824959759670917,Epsilon Greedy
36,0,1.2475863107271747,Epsilon Greedy
37,0,4.41852964913227,Epsilon Greedy
38,0,3.129214041962476,Epsilon Greedy
39,0,4.1078498638290375,Epsilon Greedy
40,0,4.1494314155895395,Epsilon Greedy
41,0,1.7341342347460154,Epsilon Greedy
42,0,3.0624005749375782,Epsilon Greedy
43,0,3.8559395933043272,Epsilon Greedy
44,0,3.480016152637951,Epsilon Greedy
45,0,1.7682082650003446,Epsilon Greedy
46,0,2.423569843109396,Epsilon Greedy
47,0,3.0548228934341384,Epsilon Greedy
48,0,0.7429786663607989,Epsilon Greedy
49,0,3.1232861643387997,Epsilon Greedy
50,1,2.637974017138817,Epsilon Greedy
51,1,2.63398893216705,Epsilon Greedy
52,1,3.368870360391231,Epsilon Greedy
53,1,4.029564491395807,Epsilon Greedy
54,1,4.969353765765819,Epsilon Greedy
55,1,3.4198585993040096,Epsilon Greedy
56,1,2.653809250087355,Epsilon Greedy
57,1,2.8117616950757522,Epsilon Greedy
58,1,2.396242660945448,Epsilon Greedy
59,1,2.337054042895591,Epsilon Greedy
60,1,2.895103852349146,Epsilon Greedy
61,1,2.818560978209593,Epsilon Greedy
62,1,3.447895012815736,Epsilon Greedy
63,1,2.3173740326211005,Epsilon Greedy
64,1,3.475905295448269,Epsilon Greedy
65,1,2.753614148031765,Epsilon Greedy
66,1,3.474764898445657,Epsilon Greedy
67,1,2.3515800289819078,Epsilon Greedy
68,1,5.215821061825468,Epsilon Greedy
69,1,1.2416198250787058,Epsilon Greedy
70,1,3.656621713029141,Epsilon Greedy
71,1,4.5249566293719194,Epsilon Greedy
72,1,2.1115330901007074,Epsilon Greedy
73,1,4.602079043179316,Epsilon Greedy
74,1,4.781939404140348,Epsilon Greedy
75,1,4.620382118457686,Epsilon Greedy
76,1,2.8312559012683223,Epsilon Greedy
77,1,3.681116234877696,Epsilon Greedy
78,1,2.899928243437038,Epsilon Greedy
79,1,4.4353565200243725,Epsilon Greedy
80,1,4.564726803851791,Epsilon Greedy
81,1,3.2758456122938844,Epsilon Greedy
82,1,4.5298739665833105,Epsilon Greedy
83,1,5.038891897573041,Epsilon Greedy
84,1,5.614467415724792,Epsilon Greedy
85,1,4.064373270292982,Epsilon Greedy
86,1,4.203691909282568,Epsilon Greedy
87,1,4.522105306657452,Epsilon Greedy
88,1,3.824616097500966,Epsilon Greedy
89,1,5.000431920339392,Epsilon Greedy
90,1,2.6778421214482435,Epsilon Greedy
91,1,4.786700652662947,Epsilon Greedy
92,1,1.9240781709915957,Epsilon Greedy
93,1,3.375765200917995,Epsilon Greedy
94,1,3.5410524420163014,Epsilon Greedy
95,1,4.932560358939323,Epsilon Greedy
96,1,5.154390741265618,Epsilon Greedy
97,1,3.143127190865945,Epsilon Greedy
98,1,5.500806792332254,Epsilon Greedy
99,1,6.134585709029407,Epsilon Greedy
100,1,3.3645470098862313,Epsilon Greedy
101,1,3.4514484877072333,Epsilon Greedy
102,1,4.207240193666349,Epsilon Greedy
103,1,3.1929186895281663,Epsilon Greedy
104,1,3.910869820224893,Epsilon Greedy
105,1,3.4782886383802403,Epsilon Greedy
106,1,3.445495905173663,Epsilon Greedy
107,1,3.63455948186602,Epsilon Greedy
108,1,4.933081932915369,Epsilon Greedy
109,1,3.582479802514971,Epsilon Greedy
110,1,5.031820328345131,Epsilon Greedy
111,1,5.335150080982901,Epsilon Greedy
112,1,4.4088580537802535,Epsilon Greedy
113,1,4.74038981605164,Epsilon Greedy
114,1,3.680318603733702,Epsilon Greedy
115,1,4.3197912104929514,Epsilon Greedy
116,1,4.160005380891466,Epsilon Greedy
117,1,3.9235816097800282,Epsilon Greedy
118,1,4.07590152341835,Epsilon Greedy
119,1,5.064047019053303,Epsilon Greedy
120,1,3.9896156717604465,Epsilon Greedy
121,1,4.439308377313591,Epsilon Greedy
122,1,3.8573059870686377,Epsilon Greedy
123,1,3.9088666981723863,Epsilon Greedy
124,1,2.9807246825336704,Epsilon Greedy
125,1,2.7158583634651574,Epsilon Greedy
126,1,4.947156047507795,Epsilon Greedy
127,1,3.7981119845606712,Epsilon Greedy
128,1,3.600820218913337,Epsilon Greedy
129,1,4.76503021035,Epsilon Greedy
130,1,4.581136290925073,Epsilon Greedy
131,1,3.6964539531841885,Epsilon Greedy
132,1,4.9286644740779435,Epsilon Greedy
133,1,4.32623712452422,Epsilon Greedy
134,1,5.135077954286061,Epsilon Greedy
135,1,5.517978796451503,Epsilon Greedy
136,1,4.6788114326089785,Epsilon Greedy
137,1,3.989399789201705,Epsilon Greedy
138,1,2.5040767576642216,Epsilon Greedy
139,1,4.1771300407775245,Epsilon Greedy
140,1,4.40163852147007,Epsilon Greedy
141,1,4.392735037371741,Epsilon Greedy
142,1,5.2905518237830655,Epsilon Greedy
143,1,4.6258111705839795,Epsilon Greedy
144,1,4.465546934626001,Epsilon Greedy
145,1,4.14504079943332,Epsilon Greedy
146,1,4.574791789691567,Epsilon Greedy
147,1,2.97621516491378,Epsilon Greedy
148,1,3.4484534694686024,Epsilon Greedy
149,1,1.886967686299323,Epsilon Greedy
150,1,4.670515078948028,Epsilon Greedy
151,1,6.169686746666098,Epsilon Greedy
152,1,4.380342257021975,Epsilon Greedy
153,1,4.649962522164998,Epsilon Greedy
154,1,3.224308677623775,Epsilon Greedy
155,1,4.301749512393961,Epsilon Greedy
156,1,4.93069512515068,Epsilon Greedy
157,1,4.583867422490145,Epsilon Greedy
158,1,5.600282900403577,Epsilon Greedy
159,1,3.5285919094203484,Epsilon Greedy
160,1,2.999938362375225,Epsilon Greedy
161,1,5.591635537892593,Epsilon Greedy
162,1,4.3819214841288,Epsilon Greedy
163,1,5.252151216718106,Epsilon Greedy
164,1,4.33802208408806,Epsilon Greedy
165,1,5.289372064618245,Epsilon Greedy
166,1,2.889330913046355,Epsilon Greedy
167,1,4.73916140545025,Epsilon Greedy
168,1,2.5237049586165963,Epsilon Greedy
169,1,2.6663041511659133,Epsilon Greedy
170,1,3.6110099739835286,Epsilon Greedy
171,1,3.8902820902985873,Epsilon Greedy
172,1,3.7926376793929952,Epsilon Greedy
173,1,4.763728173626675,Epsilon Greedy
174,1,3.554453182517544,Epsilon Greedy
175,1,3.3637982392908805,Epsilon Greedy
176,1,3.7141815229618578,Epsilon Greedy
177,1,4.076653404064329,Epsilon Greedy
178,1,4.6310081760670725,Epsilon Greedy
179,1,4.8827933850951295,Epsilon Greedy
180,1,4.221835373609224,Epsilon Greedy
181,1,6.090626320434943,Epsilon Greedy
182,1,2.4820561378630766,Epsilon Greedy
183,1,3.014661615804111,Epsilon Greedy
184,1,3.612531554634102,Epsilon Greedy
185,1,4.360781559391838,Epsilon Greedy
186,1,5.657663579389381,Epsilon Greedy
187,1,2.9240152346033623,Epsilon Greedy
188,1,6.241523283244524,Epsilon Greedy
189,1,3.347597211807382,Epsilon Greedy
190,1,2.81719964391593,Epsilon Greedy
191,1,3.907110810529014,Epsilon Greedy
192,1,4.962156484266095,Epsilon Greedy
193,1,5.681442895538207,Epsilon Greedy
194,1,2.1444743473319465,Epsilon Greedy
195,1,4.252676681517473,Epsilon Greedy
196,1,4.865952388339233,Epsilon Greedy
197,1,4.489684028766385,Epsilon Greedy
198,1,3.5785779396541666,Epsilon Greedy
199,1,5.449824035087598,Epsilon Greedy
200,1,3.4564086551426856,Epsilon Greedy
201,1,4.346092488436031,Epsilon Greedy
202,1,4.087987782825308,Epsilon Greedy
203,1,3.478762794347233,Epsilon Greedy
204,1,2.76890315491616,Epsilon Greedy
205,1,4.52440165880857,Epsilon Greedy
206,1,6.214070775040653,Epsilon Greedy
207,1,3.8042942414075065,Epsilon Greedy
208,1,5.379425212073038,Epsilon Greedy
209,1,3.099155603604939,Epsilon Greedy
210,1,2.746748369702875,Epsilon Greedy
211,1,4.354552487029004,Epsilon Greedy
212,1,4.2559394255050496,Epsilon Greedy
213,1,3.215776754684124,Epsilon Greedy
214,1,4.2881650692983975,Epsilon Greedy
215,1,4.4782465894671875,Epsilon Greedy
216,1,4.988929663929222,Epsilon Greedy
217,1,1.072447152315429,Epsilon Greedy
218,1,4.436901299688632,Epsilon Greedy
219,1,4.7991427206225,Epsilon Greedy
220,1,3.7375501966390954,Epsilon Greedy
221,1,3.585256661055205,Epsilon Greedy
222,1,3.8829517899852526,Epsilon Greedy
223,1,3.425385207089456,Epsilon Greedy
224,1,4.657213884273835,Epsilon Greedy
225,1,2.714413215532513,Epsilon Greedy
226,1,3.8973168095596686,Epsilon Greedy
227,1,4.487227189454203,Epsilon Greedy
228,1,4.373919142987762,Epsilon Greedy
229,1,3.6804831854944338,Epsilon Greedy
230,1,3.616534701915433,Epsilon Greedy
231,1,3.7260097474740577,Epsilon Greedy
232,1,4.906888201046583,Epsilon Greedy
233,1,5.2093913202095665,Epsilon Greedy
